,title,year,critic_score,people_score,type,genre,rating,original_language,box_office_(gross_usa),runtime,director,producer,writer,crew,original_language,Origin/Ethnicity,color
0,Mad Max: Fury Road,2015,97,86.0,Action & Adventure,"adventure, action",R (Intense Sequences of Violence|Disturbing Images),English,$153.6M,2h,George Miller,"['Doug Mitchell', ' George Miller', ' P.J. Voeten']","['George Miller', ' Brendan McCarthy', ' Nick Lathouris']","['Tom Hardy', ' Charlize Theron', ' Nicholas Hoult', ' Hugh Keays-Byrne', ' Josh Helman', ' Nathan Jones', ' Rosie Huntington-Whiteley', ' Riley Keough', ' Abbey Lee', ' George Miller', ' George Miller', ' Nick Lathouris', ' Doug Mitchell', ' George Miller', ' P.J. Voeten', ' Iain Smith', ' Chris deFaria']",English,American,red
1,Wonder Woman,2017,93,83.0,Action & Adventure,"adventure, fantasy, action",PG-13 (Sequences of Violence|Action|Some Suggestive Content),English,$412.8M,2h 21m,Patty Jenkins,"['Charles Roven', ' Deborah Snyder', ' Zack Snyder', ' Richard Suckle']",['Allan Heinberg'],"['Gal Gadot', ' Chris Pine', ' Connie Nielsen', ' Robin Wright', ' Danny Huston', ' David Thewlis', ' Ewen Bremner', ' Lucy Davis', ' Patty Jenkins', ' Allan Heinberg', ' Charles Roven', ' Deborah Snyder', ' Zack Snyder', ' Richard Suckle', ' Geoff Johns', ' Jon Berg', ' Wesley Coller', ' Rebecca Steel Roven']",English,American,red
2,Dunkirk,2017,92,81.0,Action & Adventure,"drama, history, war",PG-13 (Some Language|Intense War Experience),English,$188.0M,1h 47m,Christopher Nolan,"['Emma Thomas', ' Christopher Nolan']",['Christopher Nolan'],"['Fionn Whitehead', ' Tom Glynn-Carney', ' Jack Lowden', ' Harry Styles', ' Aneurin Barnard', "" James D'Arcy"", ' Barry Keoghan', ' Kenneth Branagh', ' Cillian Murphy', ' Mark Rylance', ' Christopher Nolan', ' Christopher Nolan', ' Emma Thomas', ' Christopher Nolan', ' Jake Myers', ' Nathan Crowley', ' Kevin Ishioka']",English,British,red
3,Coco,2017,97,94.0,Action & Adventure,"comedy, music, animation, kids and family, adventure",PG (Thematic Elements),English,$210.5M,1h 49m,Lee Unkrich,['Darla K. Anderson'],"['Adrian Molina', ' Matthew Aldrich']","['Anthony Gonzalez', ' Benjamin Bratt', ' Alanna Ubach', ' Jaime Camil', ' Alfonso Arau', ' Selene Luna', ' Ana Ofelia Murguía', ' Lee Unkrich', ' Adrian Molina', ' Adrian Molina', ' Matthew Aldrich', ' Darla K. Anderson', ' John Lasseter', ' Lee Unkrich', ' Michael Giacchino']",English,American,red
4,Thor: Ragnarok,2017,93,87.0,Action & Adventure,"comedy, fantasy, sci fi, action, adventure",PG-13 (Brief Suggestive Material|Action|Intense Sci-Fi Violence),English,$315.0M,2h 10m,Taika Waititi,['Kevin Feige'],"['Eric Pearson', ' Craig Kyle', ' Christopher L. Yost']","['Chris Hemsworth', ' Tom Hiddleston', ' Cate Blanchett', ' Idris Elba', ' Jeff Goldblum', ' Tessa Thompson', ' Mark Ruffalo', ' Karl Urban', ' Anthony Hopkins', ' Benedict Cumberbatch', ' Taika Waititi', ' Eric Pearson', ' Craig Kyle', ' Christopher L. Yost', ' Kevin Feige', ' Thomas M. Hammel', ' Stan Lee', ' Victoria Alonso', "" Louis D'Esposito""]",English,American,red
5,Logan,2017,93,90.0,Action & Adventure,"adventure, action, fantasy",R (Language Throughout|Brief Nudity|Strong Brutal Violence),English,$226.3M,2h 17m,James Mangold,"['Hutch Parker', ' Simon Kinberg', ' Lauren Shuler Donner']","['James Mangold', ' Michael Green', ' Scott Frank']","['Hugh Jackman', ' Patrick Stewart', ' Dafne Keen', ' Richard E. Grant', ' Doris Morgado', ' Boyd Holbrook', ' Stephen Merchant', ' Eriq La Salle', ' Elise Neal', ' Elizabeth Rodriguez', ' James Mangold', ' James Mangold', ' Michael Green', ' Scott Frank', ' Hutch Parker', ' Simon Kinberg', ' Lauren Shuler Donner', ' Joseph M. Caracciolo Jr.', ' Stan Lee', ' Josh McLaglen']",English,American,red
6,Star Wars: The Last Jedi,2017,90,42.0,Action & Adventure,"action, sci fi, adventure, fantasy",PG-13 (Violence|Sequences of Sci-Fi Action),English,$620.2M,2h 32m,Rian Johnson,"['Kathleen Kennedy', ' Ram Bergman']",['Rian Johnson'],"['Mark Hamill', ' Carrie Fisher', ' Adam Driver', ' Daisy Ridley', ' John Boyega', ' Oscar Isaac', ' Andy Serkis', "" Lupita Nyong'o"", ' Domhnall Gleeson', ' Anthony Daniels', ' Rian Johnson', ' Rian Johnson', ' Kathleen Kennedy', ' Ram Bergman', ' J.J. Abrams', ' Tom Karnowski', ' Jason McGatlin', ' Steve Yedlin', ' Bob Ducsay']",English,American,orange
7,The Adventures of Robin Hood,1938,100,89.0,Action & Adventure,"action, adventure",PG,English,,1h 42m,"Michael Curtiz, William Keighley",['Hal B. Wallis'],"['Norman Reilly Raine', ' Seton I. Miller']","['Errol Flynn', ' Olivia de Havilland', ' Basil Rathbone', ' Claude Rains', ' Patric Knowles', ' Eugene Pallette', ' Alan Hale', ' Herbert Mundin', "" Una O'Connor"", ' Melville Cooper', ' Michael Curtiz', ' William Keighley', ' Norman Reilly Raine', ' Seton I. Miller', ' Henry Blanke', ' Hal B. Wallis', ' Erich Wolfgang Korngold', ' Tony Gaudio', ' Carl Jules Weyl']",English,American,red
8,King Kong,1933,98,86.0,Action & Adventure,"adventure, fantasy",,English,,1h 40m,"Merian C. Cooper, Ernest B. Schoedsack","['Merian C. Cooper', ' Ernest B. Schoedsack']","['James Ashmore Creelman', ' Ruth Rose']","['Fay Wray', ' Bruce Cabot', ' Robert Armstrong', ' Frank Reicher', ' Sam Hardy', ' Noble Johnson', ' James Flavin', ' Steve Clemento', ' Walter Ackerman', ' Merian C. Cooper', ' Ernest B. Schoedsack', ' James Ashmore Creelman', ' Ruth Rose', ' David O. Selznick', ' Merian C. Cooper', ' Ernest B. Schoedsack']",English,American,red
9,Zootopia,2016,98,92.0,Action & Adventure,"kids and family, comedy, adventure, animation",PG (Rude Humor|Action|Some Thematic Elements),English,,1h 48m,"Byron Howard, Rich Moore",['Clark Spencer'],"['Jared Bush', ' Phil Johnston']","['Ginnifer Goodwin', ' Jason Bateman', ' Shakira', ' Idris Elba', ' J.K. Simmons', ' Nate Torrence', ' Jenny Slate', ' Tommy Chong', ' Octavia Spencer', ' Bonnie Hunt', ' Byron Howard', ' Rich Moore', ' Jared Bush', ' Jared Bush', ' Phil Johnston', ' Clark Spencer', ' John Lasseter', ' Fabienne Rawley', ' Jeremy Milton', ' Michael Giacchino']",English,American,red
